문제제목,입출력 예,자바파일
숫자 찾기,"num | k | result
--- | --- | ---
29183 | 1 | 3
232443 | 4 | 4
123456 | 7 | -1","class Solution {
    public int solution(int num, int k) {
        int answer = 0;
        return answer;
    }
}"
문자열 정렬하기 (2),"my_string | result
--- | ---
""Bcad"" | ""abcd""
""heLLo"" | ""ehllo""
""Python"" | ""hnopty""","class Solution {
    public String solution(String my_string) {
        String answer = """";
        return answer;
    }
}"
특별한 이차원 배열 2,"arr | result
--- | ---
[[5, 192, 33], [192, 72, 95], [33, 95, 999]] | 1
[[19, 498, 258, 587], [63, 93, 7, 754], [258, 7, 1000, 723], [587, 754, 723, 81]] | 0

i | j | arr[i][j] | arr[j][i]
--- | --- | --- | ---
0 | 0 | 5 | 5
0 | 1 | 192 | 192
0 | 2 | 33 | 33
1 | 0 | 192 | 192
1 | 1 | 72 | 72
1 | 2 | 95 | 95
2 | 0 | 33 | 33
2 | 1 | 95 | 95
2 | 2 | 999 | 999","class Solution {
    public int solution(int[][] arr) {
        int answer = 0;
        return answer;
    }
}"
특별한 이차원 배열 1,"n | result
--- | ---
3 | [[1, 0, 0], [0, 1, 0], [0, 0, 1]]
6 | [[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]
1 | [[1]]

i \ j | 0 | 1 | 2
--- | --- | --- | ---
0 | 1 | 0 | 0
1 | 0 | 1 | 0
2 | 0 | 0 | 1

i \ j | 0 | 1 | 2 | 3 | 4 | 5
--- | --- | --- | --- | --- | --- | ---
0 | 1 | 0 | 0 | 0 | 0 | 0
1 | 0 | 1 | 0 | 0 | 0 | 0
2 | 0 | 0 | 1 | 0 | 0 | 0
3 | 0 | 0 | 0 | 1 | 0 | 0
4 | 0 | 0 | 0 | 0 | 1 | 0
5 | 0 | 0 | 0 | 0 | 0 | 1

i \ j | 0
--- | ---
0 | 1","class Solution {
    public int[][] solution(int n) {
        int[][] answer = {};
        return answer;
    }
}"
l로 만들기,"myString | result
--- | ---
""abcdevwxyz"" | ""lllllvwxyz""
""jjnnllkkmm"" | ""llnnllllmm""","class Solution {
    public String solution(String myString) {
        String answer = """";
        return answer;
    }
}"
주사위 게임 1,"a | b | result
--- | --- | ---
3 | 5 | 34
6 | 1 | 14
2 | 4 | 2","class Solution {
    public int solution(int a, int b) {
        int answer = 0;
        return answer;
    }
}"
정수 찾기,"num_list | n | result
--- | --- | ---
[1, 2, 3, 4, 5] | 3 | 1
[15, 98, 23, 2, 15] | 20 | 0","class Solution {
    public int solution(int[] num_list, int n) {
        int answer = 0;
        return answer;
    }
}"
꼬리 문자열,"str_list | ex | result
--- | --- | ---
[""abc"", ""def"", ""ghi""] | ""ef"" | ""abcghi""
[""abc"", ""bbc"", ""cbc""] | ""c"" | """"","class Solution {
    public String solution(String[] str_list, String ex) {
        String answer = """";
        return answer;
    }
}"
배열의 원소 삭제하기,"arr | delete_list | result
--- | --- | ---
[293, 1000, 395, 678, 94] | [94, 777, 104, 1000, 1, 12] | [293, 395, 678]
[110, 66, 439, 785, 1] | [377, 823, 119, 43] | [110, 66, 439, 785, 1]","class Solution {
    public int[] solution(int[] arr, int[] delete_list) {
        int[] answer = {};
        return answer;
    }
}"
문자열로 변환,"n | result
--- | ---
123 | ""123""
2573 | ""2573""","class Solution {
    public String solution(int n) {
        String answer = """";
        return answer;
    }
}"
0 떼기,"n_str | result
--- | ---
""0010"" | ""10""
""854020"" | ""854020""","class Solution {
    public String solution(String n_str) {
        String answer = """";
        return answer;
    }
}"
문자열을 정수로 변환하기,"n_str | result
--- | ---
""10"" | 10
""8542"" | 8542","class Solution {
    public int solution(String n_str) {
        int answer = 0;
        return answer;
    }
}"
문자열 정수의 합,"num_str | result
--- | ---
""123456789"" | 45
""1000000"" | 1","class Solution {
    public int solution(String num_str) {
        int answer = 0;
        return answer;
    }
}"
정수 부분,"flo | result
--- | ---
1.42 | 1
69.32 | 69","class Solution {
    public int solution(double flo) {
        int answer = 0;
        return answer;
    }
}"
뒤에서 5등 위로,"num_list | result
--- | ---
[12, 4, 15, 46, 38, 1, 14, 56, 32, 10] | [15, 32, 38, 46, 56]","class Solution {
    public int[] solution(int[] num_list) {
        int[] answer = {};
        return answer;
    }
}"
뒤에서 5등까지,"num_list | result
--- | ---
[12, 4, 15, 46, 38, 1, 14] | [1, 4, 12, 14, 15]","class Solution {
    public int[] solution(int[] num_list) {
        int[] answer = {};
        return answer;
    }
}"
배열의 길이에 따라 다른 연산하기,"arr | n | result
--- | --- | ---
[49, 12, 100, 276, 33] | 27 | [76, 12, 127, 276, 60]
[444, 555, 666, 777] | 100 | [444, 655, 666, 877]","class Solution {
    public int[] solution(int[] arr, int n) {
        int[] answer = {};
        return answer;
    }
}"
배열 비교하기,"arr1 | arr2 | result
--- | --- | ---
[49, 13] | [70, 11, 2] | -1
[100, 17, 84, 1] | [55, 12, 65, 36] | 1
[1, 2, 3, 4, 5] | [3, 3, 3, 3, 3] | 0","class Solution {
    public int solution(int[] arr1, int[] arr2) {
        int answer = 0;
        return answer;
    }
}"
배열의 원소만큼 추가하기,"arr | result
--- | ---
[5, 1, 4] | [5, 5, 5, 5, 5, 1, 4, 4, 4, 4]
[6, 6] | [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
[1] | [1]

a | X
--- | ---
 | []
5 | [5, 5, 5, 5, 5]
1 | [5, 5, 5, 5, 5, 1]
4 | [5, 5, 5, 5, 5, 1, 4, 4, 4, 4]

a | X
--- | ---
 | []
6 | [6, 6, 6, 6, 6, 6]
6 | [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]

a | X
--- | ---
 | []
1 | [1]","class Solution {
    public int[] solution(int[] arr) {
        int[] answer = {};
        return answer;
    }
}"
rny_string,"rny_string | result
--- | ---
""masterpiece"" | ""rnasterpiece""
""programmers"" | ""prograrnrners""
""jerry"" | ""jerry""
""burn"" | ""burn""

rny_string | m | a | s | t | e | r | p | i | e | c | e
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
result | rn | a | s | t | e | r | p | i | e | c | e

rny_string | p | r | o | g | r | a | m | m | e | r | s
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
result | p | r | o | g | r | a | rn | rn | e | r | s","class Solution {
    public String solution(String rny_string) {
        String answer = """";
        return answer;
    }
}"
문자열 바꿔서 찾기,"myString | pat | result
--- | --- | ---
""ABBAA"" | ""AABB"" | 1
""ABAB"" | ""ABAB"" | 0","class Solution {
    public int solution(String myString, String pat) {
        int answer = 0;
        return answer;
    }
}"
간단한 식 계산하기,"binomial | result
--- | ---
""43 + 12"" | 55
""0 - 7777"" | -7777
""40000 * 40000"" | 1600000000","class Solution {
    public int solution(String binomial) {
        int answer = 0;
        return answer;
    }
}"
